source,target,source example,target example,source language,target language,source segment,url,comment
"tripudio","riot","L'interno della chiesa è un tripudio di marmi, stucchi ed affreschi.","The interior is a riot of marble, stucco and frescoes.","it","en","","","blaze, triumph"
"pasta frolla","shortcrust pastry","Tazzina commestibile in pasta frolla al gusto di zucchero bianco o cioccolato.","Edible cup made of shortcrust pastry in white sugar or chocolate flavour.","it","en","","","shortbread, short pastry"
"ingaggiare","hire","Per revisioni contabili accurate, è essenziale ingaggiare un commercialista abilitato.","For accurate audits, it is essential to hire a certified public accountant.","it","en","","","engage, sign"
"boccolo","curl","Si fece un boccolo perfetto prima della festa.","He made a perfect curl of his hair before the party.","it","en","","","bushing, ringlet"
"pigreco","pi","Morty, d-dì ai tuoi genitori la radice quadrata del pigreco.","Morty, t-tell your parents the square root of pi.","it","en","","",""
"letargo","hibernation","Molti animali vanno in letargo durante i mesi più freddi dell'inverno.","Many animals go into hibernation during the freezing months of winter.","it","en","","","lethargy, slumber"
"astemio","teetotaler","Tra i festaioli, l'astemio era decisamente una mosca bianca al bar.","Among the party-goers, the teetotaler was definitely an odd duck at the bar.","it","en","","","teetotaller, abstainer"
"presina","potholder","Ha preso la presina per sollevare la padella fumante di lasagna.","He reached for the potholder to lift the sizzling pan of lasagna.","it","en","","","pot holder, oven mitt"
"saetta","lightning","Il gatto sfrecciò fuori dalla vista come una saetta quando sentì il forte rumore.","The cat darted out of sight like greased lightning when it heard the loud noise.","it","en","","","lightning bolt, bolt"
"tepore","warmth","All'alba, la valle si velò di un lieve tepore.","As the sun rose, the valley misted with a gentle warmth.","it","en","","","heat, coziness"
"sovrano","sovereign","Ogni stato sovrano ha il diritto di difendere il proprio territorio da minacce esterne.","Every sovereign state is entitled to defend its territory against external threats.","it","en","","","ruler, king"
"spillo","pin","Porta sempre con sé uno spillo in tasca in caso di emergenza.","He carries a pin in his pocket just in case of emergencies.","it","en","","","stiletto, needle"
"scarso","poor","Diffondere voci sul tuo ex partner è un colpo basso e mostra scarso carattere.","Spreading rumors about your ex-partner is a low blow and shows poor character.","it","en","","","little, low"
"timone","helm","Ho imparato del timone durante il mia lezione di vela sul lago.","I learned about the helm during my sailing class on the lake.","it","en","","","rudder, drawbar"
"monaco","monaco","Il testo della canzone y'a bon baion da anne monaco.","Soprano Lyrics of the track y'a bon baion by anne monaco.","it","en","","","Monaco, monk"
"torace","thorax","Un ascesso epatico amebico potrebbe perforare dal diaframma fino al torace.","An amoebic liver abscess could rupture through the diaphragm into the thorax.","it","en","","","thorax, torso"
"molla","spring","Il suo compito era di caricare la molla ogni mattina per la macchina.","His job was to wind the spring every morning for the machine.","it","en","","","mainspring, slinky"
"amarena","sour cherry","Il finale è sapido, sensuale, scandito da ricordi di amarena.","The final is fruity, sensual, punctuated by memories of sour cherry.","it","en","","","sour cherry, wild cherry"
"zerbino","doormat","Si è pulita le scarpe sullo zerbino prima di entrare.","She wiped her shoes on the doormat before stepping inside.","it","en","","","mat, welcome mat"
"stuoia","mat","Una stuoia di paglia copriva il pavimento di legno della baita rustica.","A straw mat covered the wooden floor of the rustic cabin.","it","en","","","matting, sleeping mat"
"interpunzione","punctuation","Il traduttore può aggiungere o eliminare segni d'interpunzione da quel riquadro.","The translator can add or remove punctuation marks from that frame.","it","en","","",""
"paesi bassi","Netherlands","Dal 1817 il palazzo divenne la residenza del governatore, il rappresentante dei grande duchi dei paesi bassi.","Since 1817, the palace became the residence of the governor, the representative of the grand dukes of the Netherlands.","it","en","","","Low Countries, Nederland"
"scontrino","receipt","Per fortuna ho conservato lo scontrino; questo prodotto è difettoso e va restituito.","Just as well I kept the receipt; this product is defective and needs returning.","it","en","","","ticket, bill"
"pugilato","boxing","La categoria dei pesi leggeri spesso offre alcuni degli incontri più emozionanti nel pugilato.","The lightweight division often showcases some of the most exciting matches in boxing.","it","en","","","box, boxer"
"montatura","frame","La montatura avvolgente assicura massima protezione contro il vento e il sole.","The curved frame provides maximum protection against the wind and sun.","it","en","","","mount, setting"
"galassia","galaxy","Le stelle sono essenziali per studiare la composizione della nostra galassia.","The stars are essential for studying the composition of our galaxy.","it","en","","","island universe"
"trattoria","trattoria","Pranzo in una tipica trattoria per degustare la famosa pizza napoletana.","Lunch in a typical trattoria to taste the famous neapolitan pizza.","it","en","","","restaurant, tavern"
"diluvio","flood","Il diluvio di dati dall'esperimento richiede un'attenta analisi.","The flood of data from the experiment needs careful analysis.","it","en","","","deluge, downpour"
"l'estrema unzione","the last rites","Stanno dando l'estrema unzione a qualche moribondo nel convento.","They're giving the last rites to someone dying at the convent.","it","en","","","the sacrament of the sick, the final rites"
"esaurire","exhaust","Non esaurire tutte le opzioni senza considerare la soluzione più pratica.","Don't exhaust your options without considering the most practical solution.","it","en","","","run out, deplete"
"copione","script","Faremo una lettura completa del copione prima che inizi la prova domani.","We will read through the entire script before the rehearsal begins tomorrow.","it","en","","","screenplay, play"
"convinzione","conviction","Ha parlato con voce ferma, chiara e piena di convinzione.","She spoke with an upright voice, clear and full of conviction.","it","en","","","belief, believing"
"cervello","brain","Dopo le vacanze, il mio cervello funziona ancora a rilento.","After the holiday, my brain is still operating in second gear.","it","en","","","mind, head"
"battuta","joke","Il silenzio di tomba che accolse la sua battuta lo fece desiderare di scomparire.","The deafening silence that greeted his joke made him want to disappear.","it","en","","","line, batting"
"stremato","exhausted","Il cucciolo stremato si afflosciò dopo aver giocato tutto il pomeriggio.","The exhausted puppy collapsed in a heap after playing all afternoon.","it","en","","","worn out, done"
"sbornia","hangover","Un caffè forte può aiutare a combattere i sintomi di una sbornia.","A strong coffee may help fight off the symptoms of a hangover.","it","en","","","bender, drunkenness"
"galera","jail","Le nuove prove lo hanno aiutato a uscire di galera prima del previsto.","The new evidence helped him get out of jail sooner than expected.","it","en","","","prison, joint"
"nettamente","significantly","La temperatura oggi è nettamente più bassa rispetto a ieri pomeriggio.","The temperature today is significantly lower than it was yesterday afternoon.","it","en","","","significantly, much"
"colonnina","column","Avvicinati alla colonnina di ingresso per permettere la lettura della targa.","Approach the entry column to allow the detection of your license plate.","it","en","","","charging station, pillar"
"agghiacciante","chilling","I pattini strisciavano contro il terreno, producendo un suono agghiacciante.","The runners scraped against the ground, producing a chilling sound.","it","en","","","spine-chilling, ghastly"
"avviarsi","start","Non poteva ignorare il rumore stridente del piccolo motore che lottava per avviarsi.","She couldn't ignore the whining sound of the small engine struggling to start.","it","en","","","boot, start up"
